ts,region,total_size,free_space,largest_block,num_allocs,num_free_blocks
1768773057.4353762,stealable,64612792,59320752,59320752,1,1
1768773057.435402,internal,973272,655432,184,168,3
1768773057.4354208,external,2097128,1925472,1925472,8,1
1768773057.4354367,ext_small,131048,123488,56,324,3
1768773057.4354532,int_small,109976,109736,8,24,2
